id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Heights,Verse Prime,hip-hop,hype,0.86,95,0.72,0.85,0.06
12,Golden Hour,Velour,r&b,romantic,0.52,88,0.76,0.74,0.42
13,Iron Collapse,Ashfall,metal,angry,0.97,168,0.22,0.55,0.03
14,Autumn Sonata No. 3,Clara Voss,classical,melancholic,0.18,54,0.31,0.22,0.98
15,Harbour Sun,Island Roots,reggae,uplifting,0.61,82,0.88,0.78,0.55
16,Old Pine Road,Dusty Hollow,folk,nostalgic,0.29,98,0.64,0.43,0.91
17,Signal Peak,Luminex,edm,euphoric,0.95,128,0.82,0.93,0.02
18,Empty Porch Blues,Dawson Reel,blues,sad,0.33,72,0.24,0.41,0.83
